Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
Minnesota,0.573,0.539,159.3,24.4,74.9,49,61.7,12.4,8.7,11.2,1.3,74.5,114.3,111.7,2.6,"8,316.20",100.9
Memphis,0.553,0.522,154.8,30,77.8,53.3,59.7,11.2,9.6,12,1.2,79.4,114.7,109,5.6,"8,268.00",100.3
Milwaukee,0.58,0.546,160.9,23,78.6,51.4,57.2,11.9,7.6,7.9,1.3,75,115.1,111.8,3.3,"8,224.30",99.9
Charlotte,0.572,0.544,157.4,23.3,74.8,48.7,65.6,11.6,8.5,9.5,1.3,77,114.2,113.7,0.4,"8,284.20",100
Phoenix,0.581,0.549,164.5,22.3,77.1,50.5,62.7,11.5,8.6,8.1,1.3,77.8,114.8,107.3,7.5,"8,199.00",99.7
Atlanta,0.581,0.543,165.6,23,76.9,50.1,59.3,10.8,7.3,7.9,1.3,74.6,116.5,114.9,1.6,"8,017.70",97.7
Utah,0.589,0.555,159.8,25.4,78.3,52.7,55.2,12.7,7.3,9,1.3,73.7,116.7,110.5,6.2,"7,983.80",97.1
San Antonio,0.556,0.527,157.3,23.7,75.1,49.2,64.6,11.1,7.6,8.5,1.2,75.7,112.4,112.3,0.1,"8,254.50",100
Brooklyn,0.576,0.54,164.1,23.9,75.1,50.2,60.2,12.5,7.1,10.1,1.3,73,113.6,112.8,0.8,"8,150.40",99
Denver,0.59,0.556,163.1,21.9,78.3,51,66.7,13.2,7.4,7,1.3,74.3,114.5,112.2,2.3,"8,073.00",97.8
L.A. Lakers,0.567,0.537,154.9,21.1,75.8,48.6,57.6,12.8,7.5,9.5,1.3,69.4,110.3,113.3,-3,"8,333.70",100.1
Boston,0.578,0.542,163.8,24,77.3,51.3,60.9,12.4,7.4,11,1.3,74.6,114.4,107,7.5,"8,010.10",96.6
Chicago,0.579,0.541,166.2,20.4,78.3,49.5,57.2,11.8,7.2,7.4,1.3,70.8,113.3,113.7,-0.4,"8,080.80",98.3
Indiana,0.564,0.531,157.5,25.5,76.2,50.4,61.2,12.7,7.2,10,1.2,70.5,112.6,116.1,-3.5,"8,116.20",98
Golden State,0.582,0.552,160.2,22.8,78.7,51.6,66.9,13.5,8.8,9,1.3,74.9,112.5,106.9,5.6,"8,092.00",98.4
Sacramento,0.561,0.525,157.2,21.3,76,48.4,58.5,12.5,7.2,8.1,1.3,67.8,109.9,115.3,-5.4,"8,230.80",99.7
Miami,0.584,0.547,165.4,23.5,78,51.2,64.4,13.4,7.6,7.1,1.3,70.2,113.7,109.1,4.6,"7,936.40",95.9
Philadelphia,0.578,0.534,165.1,20.1,76.8,48.9,60.2,11.6,8,9.9,1.3,71.2,113.5,110.8,2.7,"7,940.50",96.2
Houston,0.565,0.534,151.8,21.7,74.4,47.9,59.8,14.5,7.3,8.7,1.3,65.1,108.4,116.7,-8.4,"8,301.60",100.9
Toronto,0.543,0.51,155.2,28.4,75.6,50.7,54.3,11,9.3,9.3,1.2,69.1,112.9,110.6,2.4,"7,943.40",96
New Orleans,0.557,0.517,157.8,26.9,78.2,52,62.1,12.5,8.5,8,1.2,70.5,112,113,-1,"8,003.30",97.2
Washington,0.568,0.532,159.7,20.9,76.9,49.4,61.7,12.1,6.5,8.7,1.3,69.8,111.1,114.6,-3.5,"8,014.70",97
L.A. Clippers,0.564,0.531,162.4,20.6,74.4,48.3,59.9,12.5,7.5,8.7,1.2,69.7,110.1,110.1,0,"8,075.00",98
Dallas,0.572,0.538,158.3,21.3,78,49.6,59.5,11.7,7,7.4,1.3,68.6,112.9,109.4,3.5,"7,848.30",95.3
Cleveland,0.571,0.538,158.4,24,76.5,50.8,63.4,13.2,7.3,7.7,1.3,70.7,111.9,109.7,2.2,"7,898.80",96.1
New York,0.55,0.513,153.8,25.1,78.8,51.4,58.1,12,7.2,9.9,1.2,66.7,110.4,110.6,-0.1,"7,906.00",95.9
Portland,0.55,0.515,154.8,22.9,76.9,48.9,59.5,13,8.1,9.2,1.2,64.8,107.9,116.9,-9,"8,075.00",98.2
Detroit,0.533,0.494,153.9,23.4,75.6,48.2,61.5,12.6,7.8,9,1.2,62.9,106.1,113.9,-7.8,"8,105.10",98.3
Orlando,0.538,0.503,155.1,19.8,77.2,48.4,62,13,6.8,8.5,1.2,63.7,104.5,112.5,-8,"8,177.40",99.2
Oklahoma City,0.53,0.497,150.8,21.8,76.1,48.5,58,12.5,7.7,8.9,1.2,64.3,104.6,112.8,-8.2,"8,130.40",98.5
